texto,texto_limpio,texto_lematizado,cluster
"Ediliciamente está mejor que años atrás, no obstante la mayor parte de sus instalaciones no generan una sensación de bienestar. En primavera y verano el patio rescata un poco eso.",ediliciamente está mejor que años atrás no obstante la mayor parte de sus instalaciones no generan una sensación de bienestar en primavera y verano el patio rescata un poco eso,ediliciamente mejor año atrás obstante mayor parte instalación generar sensación bienestar primavera verano patio rescata,1
Bella casa de estudios universitarios. Hermoso patio y jardín para compartir recreos entre los estudiantes.,bella casa de estudios universitarios hermoso patio y jardín para compartir recreos entre los estudiantes,bello casa estudio universitario hermoso patio jardín compartir recreo estudiant,2
El mejor,el mejor,mejor,1
"Excelente facultad por la oferta de cursos de grado y posgrado, acepta estudiantes extranjeros.",excelente facultad por la oferta de cursos de grado y posgrado acepta estudiantes extranjeros,excelente facultad ofertar curso grado posgrado aceptar estudiante extranjero,0
"Muy linda Facultad para estudiar, informarse y visitar. Entrada totalmente libre.",muy linda facultad para estudiar informarse y visitar entrada totalmente libre,linda facultad estudiar informar él visitar entrada totalmente libre,0
Un lugar lindo con un rosedal y mucho color verde en el patio.,un lugar lindo con un rosedal y mucho color verde en el patio,lugar lindo rosedal color verde patio,2
Es la facultad que estoy estudiando actualmente. Su patio es muy hermoso y la biblioteca es muy linda.,es la facultad que estoy estudiando actualmente su patio es muy hermoso y la biblioteca es muy linda,facultad estudiar actualmente patio hermoso biblioteca lindo,2
Muy buena,muy buena,buen,1
Me trae recuerdos de mi paso por la Facultad. Animo a que más personas estudien en ella.,me trae recuerdos de mi paso por la facultad animo a que más personas estudien en ella,traer recuerdo paso facultad animo persona estudien,0
Me gustó mucho la estructura es enorme y un jardín central muy lindo. Pero le hace falta mantenimiento y más higiene.,me gustó mucho la estructura es enorme y un jardín central muy lindo pero le hace falta mantenimiento y más higiene,gustar estructura enorme jardín central lindo hacer falta mantenimiento higienir,2
Lamentable. Ese lugar es deprimente. Es una zona muy gris.,lamentable ese lugar es deprimente es una zona muy gris,lamentable lugar deprimente zona gris,1
De los mejores antros a los que fui,de los mejores antros a los que fui,mejor antro,1
Hermoso lugar,hermoso lugar,hermoso lugar,0
Un desastre,un desastre,desastre,1
The week of student defending/presenting their final thesis. I liked it attended their presentation which are open to the public.,the week of student defending presenting their final thesis i liked it attended their presentation which are open to the public,the week of student defending presenting their final thesis i liked it attended their presentation which are opir to the public,1
"La facultad es hermosa, pero los profesores te hablan mal, el consejo no escucha a los estudiantes.",la facultad es hermosa pero los profesores te hablan mal el consejo no escucha a los estudiantes,facultad hermoso profesor hablar mal consejo escuchar estudiante,1
Demasiados jipis,demasiados jipis,demasiado jipis,1
"Hermosa facultad, su patio es muy bello, un aspecto adecuado para aquellos que disfrutamos estudiar en lugares verdes.",hermosa facultad su patio es muy bello un aspecto adecuado para aquellos que disfrutamos estudiar en lugares verdes,hermoso facultad patio bello aspecto adecuado aquel disfrutar estudiar lugar verde,2
La verdad re buena,la verdad re buena,verdad re buen,1
"Visité la facultad en el turno nocturno, muy agradables los funcionarios que me atendieron, me permitieron pasar al patio para esperar a una amiga. El patio es precioso, vegetación muy bien cuidada, bancos, mesas donde puedes compartir un espacio. Allí conocí a Lolo, la mascota de la facultad. Muy lindo y mimoso, es parte de la facultad y los funcionarios de la misma lo alimentan y cuidan.",visité la facultad en el turno nocturno muy agradables los funcionarios que me atendieron me permitieron pasar al patio para esperar a una amiga el patio es precioso vegetación muy bien cuidada bancos mesas donde puedes compartir un espacio allí conocí a lolo la mascota de la facultad muy lindo y mimoso es parte de la facultad y los funcionarios de la misma lo alimentan y cuidan,visitar facultad turno nocturno agradable funcionario atender permitir pasar patio esperar amiga patio precioso vegetación bien cuidado banco mesa poder compartir espacio allí conocí lolo mascota facultad lindo mimoso parte facultad funcionario mismo alimentar cuidar,2
Hermosas y cómodas instalaciones. Excelente reciclado del edificio. Espectacular parque. Un ambiente para disfrutar del aprendizaje.,hermosas y cómodas instalaciones excelente reciclado del edificio espectacular parque un ambiente para disfrutar del aprendizaje,hermosa cómodo instalación excelente reciclado edificio espectacular parque ambientar disfrutar aprendizaje,2
"Muy buena atención y dedicación de las estudiantes, estuvieron con mi hijo de 3 años.",muy buena atención y dedicación de las estudiantes estuvieron con mi hijo de años,buen atención dedicación estudiant hijo año,1
La más linda,la más linda,lindo,1
"Día de elecciones, mucha gente pero circuitos ágiles.",día de elecciones mucha gente pero circuitos ágiles,día elección mucho gente circuito ágil,1
Excelente lugar para estudiar. Infraestructura especial y muy confortable.,excelente lugar para estudiar infraestructura especial y muy confortable,excelente lugar estudiar infraestructura especial confortable,0
"Hermoso edificio, la mejor facultad del país.",hermoso edificio la mejor facultad del país,hermoso edificio mejor facultad país,0
Siempre es lindo pisar una Facultad. Un patio hermoso!,siempre es lindo pisar una facultad un patio hermoso,siempre lindo pisar facultad patio hermoso,2
"Hermoso edificio sede de la Facultad de Psicología, Udelar.",hermoso edificio sede de la facultad de psicología udelar,hermoso edificio sede facultad psicología udelar,0
Instalaciones con accesibilidad para sillas de ruedas y baños inclusivos.,instalaciones con accesibilidad para sillas de ruedas y baños inclusivos,instalación accesibilidad silla rueda baño inclusivo,1
Sorprendente casa de estudios.,sorprendente casa de estudios,sorprendente casa estudio,0
Le falta un estacionamiento para motos. Procesos cognitivos clase inaugural estuvo espectacular.,le falta un estacionamiento para motos procesos cognitivos clase inaugural estuvo espectacular,faltar estacionamiento moto proceso cognitivo clase inaugural espectacular,1
"Es hermosa!!! Tiene un patio con mucho verde para estudiar y cuenta con biblioteca, acceso para silla de ruedas.",es hermosa tiene un patio con mucho verde para estudiar y cuenta con biblioteca acceso para silla de ruedas,hermoso patio verde estudiar cuenta biblioteca acceso silla rueda,2
"Lugar del bien, con amigues del bien que decirte, se estudia pero se habita.",lugar del bien con amigues del bien que decirte se estudia pero se habita,lugar bien amigues bien decir tú estudiar habitar,1
Es un lugar agradable.,es un lugar agradable,lugar agradable,2
"Hermosa facultad, muy bien organizada.",hermosa facultad muy bien organizada,hermoso facultad bien organizado,0
"La mejor Facultad, en un edificio hermoso y con mucha historia.",la mejor facultad en un edificio hermoso y con mucha historia,mejor facultad edificio hermoso mucho historia,0
Hermosa está.,hermosa está,hermoso,1
Muy lindas las instalaciones y hermoso el salón de actos.,muy lindas las instalaciones y hermoso el salón de actos,lindo instalación hermoso salón acto,0
La agenda 2030 en su apogeo.,la agenda en su apogeo,agendar apogeo,1
"Muy lindo lugar, adoro el patio.",muy lindo lugar adoro el patio,lindar lugar adoro patio,2
"Objetivamente hablando, es un edificio que fue renovado casi que por completo. Tiene entrada accesible por la calle Paysandú, rampas y ascensores.",objetivamente hablando es un edificio que fue renovado casi que por completo tiene entrada accesible por la calle paysandú rampas y ascensores,objetivamente hablar edificio renovado casi completo entrada accesible calle paysandú rampa ascensor,1
Dentro de la facultad de Psicología por la calle Paysandú hay una entrada que pertenece a la facultad de humanidades y ciencias. Donde se encuentra el laboratorio de arqueología y se dictan clases de arqueología y antropología biológica.,dentro de la facultad de psicología por la calle paysandú hay una entrada que pertenece a la facultad de humanidades y ciencias donde se encuentra el laboratorio de arqueología y se dictan clases de arqueología y antropología biológica,dentro facultad psicologío calle paysandú entrada pertenecer facultad humanidad ciencia encontrar laboratorio arqueologío dictar clase arqueología antropología biológico,0
"Totalmente politizada, asco dar ver carteles del sindicato y del frente amplio por todos lados.",totalmente politizada asco dar ver carteles del sindicato y del frente amplio por todos lados,totalmente politizado asco dar ver cartel sindicato frente amplio lado,1
Excelente facultad. Con el ambiente ya dan ganas de estudiar. Lástima que afuera fuman y tiran las colillas al suelo.,excelente facultad con el ambiente ya dan ganas de estudiar lástima que afuera fuman y tiran las colillas al suelo,excelente facultad ambiente dar gana estudiar lástima afuero fuman tirar colil él suelo,1
Excelente.,excelente,excelente,1
